id,question,gold_standard_answer,gold_standard_documents,,,
16,Why am I getting MF rows behind after upgrading to 12.2.1.2?,"This is a known issue after upograding to 12.2.1.2. Apply the provided drop file with these steps if you are on version 12.2.1.2:
1. Upload the attached drop files(dcm-py3.pyc, dcm-py2,pyc) into “/home/em7admin/” directory across all database appliances on the stack.
2. Backup the existing dcm.pyc files in both Python 2 and Python 3 locations, to new filenames:
cp -p /opt/em7/lib/python/sl_da_storageobj/dcm.pyc /opt/em7/lib/python/sl_da_storageobj/dcm.pyc.orig;
cp -p /opt/em7/lib/python3/sl_da_storageobj/dcm.pyc /opt/em7/lib/python3/sl_da_storageobj/dcm.pyc.orig;
3. Copy the new dcm-py2.pyc file to /opt/em7/lib/python/sl_da_storageobj, removing the ‘-py2’ portion of the filename. Then set the ownership of the file to root:s-em7-srv and set its permissions to 640.
chmod 640 /home/em7admin/dcm-py2.pyc;
chown root:s-em7-srv /home/em7admin/dcm-py2.pyc;
cp -p /home/em7admin/dcm-py2.pyc /opt/em7/lib/python/sl_da_storageobj/dcm.pyc;
When asked if you want to replace the file, pick “yes”.
4. Copy the new dcm-py3.pyc file to /opt/em7/lib/python3/sl_da_storageobj, removing the ‘-py3’ portion of the filename. Then set the ownership of the file to root:root and set its permissions to 744.
chmod 744 /home/em7admin/dcm-py3.pyc;
chown root:root /home/em7admin/dcm-py3.pyc;
cp -p /home/em7admin/dcm-py3.pyc /opt/em7/lib/python3/sl_da_storageobj/dcm.pyc;
When asked if you want to replace the file, pick “yes”.
5. Only on Primary Database appliance. Restart the three Data Pull services with command:
sudo systemctl restart em7_hfpulld em7_mfpulld em7_lfpulld
6. Check MySQL processlist(System>Tools>DB Tool and run ""SHOW FULL PROCESSLIST"" query), and notice that you don’t see queries like this taking over 1-2 seconds to complete:
SELECT cdm.id, cdm.parent_did, cdm.root_did, cdm.component_did, cdm.unique_id, ld.cug_id, (scg.fake_cug_capacity != 0) AS in_virtual_cug, ld.id AS did, ld.class_type, ld.keep_hostname, ld.device AS device_name, FALSE as vanished FROM master_dev.component_dev_map cdm JOIN master_dev.legend_device ld ON ld.id = cdm.component_did JOIN master.system_collector_groups scg ON scg.cug_id = ld.cug_id WHERE IF(guid IS NOT NULL, guid = 'xxxxxxxxxx', unique_id in ('xxxxxxxxxx') AND root_did = 12345)
7. Check your devices, and make sure performance graph data is pulled and populated for the next 15-20 minutes. Also check if Rows Behind number is going down on the monitored primary DB device.
Issue is also fixed in 12.2.3 and 12.3.0.","[CRITICAL] Medium Frequency rows behind after an upgrade to 12.2.1.2,
ENG-Rows-Behind Troubleshooting Guide-011025-195652",,,
17,What team owns the PowerPack VMware: vSphere Base Pack?,Full House,"ENG-PowerPack Team Ownership (Design Center)-061125-180304, ENG-VMware Power Pack Troubleshooting Guide-011025-205530",,,confirm the redaction
18,What is the SQL query to find backed up async jobs?,"silo_mysql -e ""SELECT COUNT(*) as num_jobs, state, proc, mid FROM master_logs.spool_process WHERE state IN (1,2,3) GROUP BY state, proc ORDER BY num_jobs DESC""",ENG-Rows-Behind Troubleshooting Guide-011025-195652,,,
19,What do I need to escalate a VMware PowerPack case to engineering?,"Required:
Result file from vmware_system_status.py. Also remember that this must be run on all of the following: CDB, any affected device’s collector(s), and the root device’s collector. (See
VMware Power Pack Troubleshooting Guide | [inlineExtension][hardBreak]Troubleshooting Script and Other Tools )
Output from a CLI run of the affected Dynamic Application on an affected device
Identify specific examples of the problem: Device Name, Device ID and App Name at a minimum.
Strongly recommended
(There is a good possibility we will as for this at some point, if provided up front it will save turnaround time for the customer)
Logs from the affected device collector with debug enabled (silo.log, sl1.log, sl1-error.log)
Logs from the root device collector with debug enabled (silo.log, sl1.log, sl1-error.log)
Note: if changes are made to a customer system, this information will be out of date. We will require new runs of vmware_system_status.py, log files, and CLI runs of the Dynamic Applications so that we have updated data showing the state of the system after the update. We cannot accurately assess the system state without current information.
Fill out and include this template on every new VMware escalation:
SL1 version: <version>
PowerPack version: <version>
PowerPack revision: <revision>
vCenter Server version: <version>",ENG-VMware Power Pack Troubleshooting Guide-011025-205530,,,
20,How do I increase the default Staging time out?,sudo pcli set-patcher-param staging_wait_time <timeout_in_seconds>,ENG-System Update - Known Issues & Troubleshooting-031025-144552,,,
21,How do I run onDemandProcessing using GraphQL UI?,"""query onDemand { harProviderOnDemandProcessing(ids: []) { results { serviceId timestamp health availability risk } auditHistory { serviceId ruleSetId ruleId timestamp sequence message } }
}""",Business Services - How to turn up Log Level to :trace in AP2 to capture log data,,,
22,Can I install/update Restorepoint offline,"Generally yes. Although we recommend allowing Restorepoint to autonomously check for updates, you can disable this by ticking the checkbox This appliance is not connected to the Internet. This can be done during the initial set up, or at a later stage (in the Administration > System Settings > Appliance screen).
(One exception to this is with a Pool licence. When you are using a Pool licence, you cannot do offline registrations/offline updates. The appliance needs to communicate with our update server directly, or via a proxy. You can set up a proxy as part of the initial registration.)
Once you have selected This appliance is not connected to the Internet, a Manual Update button will appear in the Administration > System Settings > Appliance screen, which allows you to manually update the appliance licence and/or software.","[Restorepoint] - Can I install_update Restorepoint offline, restorepoint-userguide-56",,,
23,"[Restorepoint] - ""Invalid key length"" error when trying to backup a Cisco","Older Cisco devices use a very short key, which is incompatible with OpenSSH.
The solution is to regenerate the key on the Cisco device. It must be at least 1024-bit.","[Restorepoint] - ""Invalid key length"" error when trying to backup a Cisco device",,,
24,How does encryption work in Restorepoint,"All sensitive data, including device configurations, stored in Restorepoint is protected by filesystem encryption, using AES256. Restorepoint transparently encrypts data when it is written to disk and decrypts it as it is read. Clear-text data is only ever held in volatile memory, and therefore disappears when the appliance is shut down or rebooted, rendering data theft impossible without a valid encryption key.",[Restorepoint] - How does encryption work in Restorepoint,,,
25,How does Restorepoint work with NAT?,"NAT poses a challenge with devices that use a back-connection to transfer files to Restorepoint; for instance, Restorepoint may connect to a device via SSH, but then a file transfer is initiated by the device, rather than Restorepoint. In those cases, with no additional configuration, the device will use the IP address of the Restorepoint appliance, which may be an unroutable RFC1918 address, which will result in a failure.
This can be addressed in a number of ways:
Although using a back-connection may be a default for a particular device, it may be possible to use a different backup protocol that doesn't use back-connections. For instance, for a Cisco IOS, if ""telnet"" or ""ssh"" are selected as backup protocols, a TFTP back-connection will be used. If however ""scp"" is selected, no back-connections will be used, thus avoiding any NAT complications. Note however that additional configuration on the device may be required; in this particular example, scp is disabled in IOS by default, so it needs to be enabled on the device before Restorepoint can use that method. You should always read the Restorepoint Plugin Guide (available under the Help menu), or click on the Info button when editing a device, to find out what options are available.
If back-connections can't be avoided, for instance because there is no alternative protocol for a particular device, or because no changes are allowed, NAT needs to be set up.
First of all, you need to set up a 1:1 NAT mapping (often referred to as Static NAT, or MIP, depending on the firewall vendor) to translate the IP address of Restorepoint to a public/routable IP address. The firewall policy needs to allow backup-related traffic between this IP address and the remote device.
Enter this address in the NAT Address field in the Administration>System Settings>Network Access screen; this will set the global NAT address.
Edit the device, and tick the Back-Connection NAT checkbox. This will fill the NAT Address field with the Global NAT address. If you have multiple NAT gateways, the Global NAT address can be overridden in the Domain settings or the Device settings.
If you have multiple devices in one or more remote datacentre, you should consider deploying an Agent, which will remove all the typical issues related to NAT. More information about agents can be found here: [Restorepoint] - Restorepoint Agent .",[Restorepoint] - How does Restorepoint work with NAT,,,
26,[Restorepoint] - Backup Times out During Export,"If the backup times out during the configuration export this usually means that there a back connection from the device to Restorepoint, as such you will need to ensure there is a connection from the device to Restorepoint.
If the backup has previously worked and you have ensured there is a connection from the device to Restorepoint, the issue could be because of known hosts, in this case we recommend clearing the known host from Restorepoint, the agent and the device. For the agent and Restorepoint you will need to go to the CLI.
Related Article: [Restorepoint] - Test Connection works, yet I cannot back up a device",[Restorepoint] - Backup Times out During Export,,,
27,[Restorepoint] - Device SSH key has changed,"Restorepoint has detected that the device's SSH key has changed.
This is a security feature of SSH, which prevents a connection if the target host has an unexpected key. This typically happens because the device has been replaced, or the key on the device has been modified.",[Restorepoint] - Device SSH key has changed,,,
28,[Restorepoint] - What is the Generic Push Plugin,"Generic Push is a ""pseudo"" plugin, which allows file uploads via SFTP or FTP. This can be used for devices which aren't directly supported by Restorepoint, if they're capable of uploading their configuration at regular intervals, or for manual uploads.",[Restorepoint] - What is the Generic Push Plugin,,,
29,How does Restorepoint handle low disk space situations?,"If storage utilisation is low, Restorepoint will take the following actions: If less than 5% storage is available, Restorepoint reduces the cache allocation, all the way down to 0 if necessary.
If the available storage is still below 5%, scheduled tasks will stop running. Scheduled tasks will be re-enabled if free space raises above 8%
Daily email notifications are sent daily if storage usage is above 80%
Hourly email notifications are sent if storage usage is above 95%.",[Restorepoint] - How does Restorepoint handle low disk space situations?,,,
30,Is Restorepoint available as a hardware appliance?,Restorepoint is available as a hardware appliance or a VMware virtual appliance. This section describes how to perform the initial configuration of your Restorepoint appliance and configure it to communicate with other devices on your network.,restorepoint-userguide-56,,,
31,What ports are required to carry traffic from clients to restorepoint?,"Traffic from Clients to Restorepoint
The following table lists traffic from Restorepoint to network devices:
Port Purpose
443/tcp Restorepoint user interface
22/tcp Restorepoint shell access
161/udp (optional) SNMP monitoring",restorepoint-userguide-56,,,answer in a table
32,[Restorepoint] - /fork/exec xxx: Cannot allocate memory,"If a Restorepoint virtual appliance cannot start any tasks and you get this error repeatedly (for example, /fork/exec /usr/bin/ssh: Cannot allocate memory), even when no jobs are running, and the memory usage looks normal (as displayed in the Status page), please ensure that the VMware Tools are up to date.
If the VMware tools are not running or are not up to date, memory ballooning and transparent page sharing won’t be available, which may cause memory management problems on the virtual appliance.
Note: (June 2025) We have not seen this issue for a few years and thus, it may be something that newer versions of the Hypervisor have ironed out.",[Restorepoint] - /fork/exec xxx: Cannot allocate memory,,,
33,my /var/log partition is getting full. What can I do to prevent that? ,"Not so much a Q&A but more of a self-support result with the two KBs being presented and summerized.
Source = 00533757


- The issue with IBM DB2 second instance not being discovered on some devices, while two instances appear on others, is likely due to inconsistent credential configuration or discovery logic in the `silo_ssh_requests` library.
- This behavior aligns with the known issue: `[MINOR] IBM DB2: Server Discovery (SSH Authentication Error)` affecting versions 105–107.
- The root cause may be:
  - SSH authentication failure on certain instances (e.g., due to misconfigured credentials or differing port settings).
  - Inconsistent `SOAP credential headers` during discovery, leading to partial data collection.
- Workaround:
  - Ensure `silo_ssh_requests` version `0.4.7` is aligned with the IBM: DB2 EE library.
  - Verify that all DB2 instances use consistent SSH credentials and port mappings.
  - Check if the parent device and component device are assigned to the same collector — if not, it may cause discovery gaps.
- For devices showing two instances where only one exists, validate the discovery script logic — it may be misinterpreting metadata or duplicate entries due to misconfigured instance IDs.

- If the issue persists, apply the workaround snippet from engineering (EM-65458) to fix the DA’s parent device retrieval logic, and verify after 1–2 polling cycles.

In addition:  Customers should not add multiple database paths in the credential’s headers because that is not supported.","[MINOR] IBM DB2_ Server Discovery (SSH Authentication Error), [NOTICE] IBM: DB2 does not support multiple database paths per stack",,,
34,"""Currently we have HA (Primary + Secondary). We also have an exact replica of the Primay in another datacenter, which we want to use as DR.

If we configure HA+DR and both HA nodes crash, the DR should take over as the primary if we manual failover to it, but how can we manual failover if the database on the HA is gone? Can you please explain?""","The DR can be promoted to primary on the DR-side. Then you would also need to re-configure APs to point to DR.
Source = 00494970
Question on HA+DR configuration
The Doc page below describes how to failover to DR in both types of situation (where HA is Accessible and when Inaccessible, and also how to fail back). This doc link is directly to the ""Failover when the High Availability Cluster is Inaccessible"" section for reference:
https://docs.sciencelogic.com/latest/Content/Web_Install_Configure/HA_DR_Configuration/ha_and_dr.htm#failover-when-the-high-availability-cluster-is-inaccessible
We also have this KB that describes how you can do failover testing with DR:
https://support.sciencelogic.com/s/article/1392#HA-DR_Fail-Over
Just like HA Secondary -- DR's SQL Service is always purposefully down and the related disk is not even mounted until it becomes promoted to Primary. Both are also synchronized by DRBD while the SQL service is down on them.
The Doc Page I sent you has the instructions for how to promote DR to Primary properly. Once it is Primary mysql service should start automatically.",Clustered Database Appliances Will Not Connect,,,
